상품명,상품코드,자체 품목코드,품목명,품목코드
골판지 종이 보양지 (40m/1롤),P0000CTS,(1)800플로3,풀로베니아(플라스틱) 보양재 3T x 900 x 1800,P0000CTS000A
골판지 종이 보양지 (40m/1롤),P0000CTS,(1)800골판지,종이 롤보양재 3T x 1100 x 40M,P0000CTS000B
월드폼월드 251건,P0000CTN,(1)800하폼건월드9,월드폼 월드 251건,P0000CTN000B
월드폼티탄 B1 난연폼,P0000CTM,(1)800하폼건월드5,월드폼 티탄 B1 난연폼,P0000CTM000B
월드폼월드폼 전용 크리너,P0000CTL,(1)800하폼크리너,월드폼 월드폼 전용 크리너,P0000CTL000B
월드폼좋은폼 (1회용/빨대형),P0000CTK,(1)800하폼건월드8,월드폼 좋은폼 (1회용/빨대형),P0000CTK000B
월드폼스프레이폼 건타입,P0000CSB,(1)800하폼건월드3,월드폼 스프레이폼 건타입,P0000CSB000B
월드폼스피드폼 건타입,P0000CSA,(1)800하폼건월드4,월드폼 스피드폼 건타입,P0000CSA000B
월드폼좋은폼 건타입,P0000CRZ,(1)800하폼건월드1,월드폼 좋은폼 건타입,P0000CRZ000B
월드폼폼본드(난연/B2) 건타입,P0000CRY,(1)800하폼건월드2,월드폼 폼본드(난연/B2) 건타입,P0000CRY000E
프리미엄 단열재 PF보드LX지인,P0000CHJ,(1)600LXPF301800N,30T x 1000 x 1800,P0000CHJ000A
프리미엄 단열재 PF보드LX지인,P0000CHJ,(1)600LXPF501800N,50T x 1000 x 1800,P0000CHJ000B
프리미엄 단열재 PF보드LX지인,P0000CHJ,(1)600LXPF901800N,90T x 1000 x 1800,P0000CHJ000C
단열재 GCS보드,P0000CHH,(2)600대성GCS13,13T x 900 x 2400,P0000CHH000A
단열재 GCS보드,P0000CHH,(2)600대성GCS21,21T x 900 x 2400,P0000CHH000B
단열재 GCS보드,P0000CHH,(2)600대성GCS33,33T x 900 x 2400,P0000CHH000C
차음시트 2T1000 x 1000단면점착,P0000CHD,(1)503차음시트기본,차음시트 2T 1000 x 1000,P0000CHD000A
차음시트 2T1000 x 1000단면점착,P0000CHD,(2)503소음차음시트3,차음시트 3T 1000 x 1000,P0000CHD000B
차음시트 2T1000 x 1000단면점착,P0000CHD,(2)503소음차음시트4,차음시트 4T 1000 x 1000,P0000CHD000C
텐텐지 백색1800x길이 85M,P0000CHC,(1)800텐텐지,1800x길이 85M 백색,P0000CHC000C
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,40*80*900 일반형/물턱없음(ㄱ자형),P0000CCW000A
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,52*80*900 일반형/물막이턱형(ㄱ자형),P0000CCW000B
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,----------,P0000CCW000C
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,60*1800 하부평판(ㅡ자형),P0000CCW000D
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,80*1800 하부평판(ㅡ자형),P0000CCW000E
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,110*1800 하부평판(ㅡ자형),P0000CCW000F
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,140*1800 하부평판(ㅡ자형),P0000CCW000G
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,170*1800 하부평판(ㅡ자형),P0000CCW000H
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,200*1800 하부평판(ㅡ자형),P0000CCW000I
인조대리석하부평판/도어씰주문제작상품,P0000CCW,,230*1800 하부평판(ㅡ자형),P0000CCW000J
GS건설자이 천연 방수석고보드,P0000CCM,(1)200자이02방수936,9.5T x 900 x 1800 (936),P0000CCM000A
GS건설자이 천연 일반석고보드,P0000CCL,(1)200A자이01일반93,9.5T x 900 x 1800 (936),P0000CCL000A
GS건설자이 천연 일반석고보드,P0000CCL,(1)200자이05일반938,9.5T x 900 x 2400 (938),P0000CCL000C
GS건설자이 천연 일반석고보드,P0000CCL,(1)200자이04일반1236,12.5T x 900 x 1800 (1236),P0000CCL000D
"LVL 합판각재합판다루끼한치각,투바이",P0000CCD,(2)100LVL30308,LVL 합판 다루끼 30x30x3600 1단,P0000CCD000A
"LVL 합판각재합판다루끼한치각,투바이",P0000CCD,(2)100LVL3069,LVL 합판 투바이 30x69x3600 1단,P0000CCD000B
목망 꽃바둑살600X1860X8X15T,P0000CBZ,(1)100목망꽃바둑1015,600x1860x8x15T,P0000CBZ000A
목망 꽃바둑살600X1860X8X15T,P0000CBZ,(1)100목망캡,목망테두리,P0000CBZ000B
PVC 점검구,P0000CBX,(1)800점검PVC300,PVC 점검구 300 x 300,P0000CBX000A
PVC 점검구,P0000CBX,(1)800점검PVC400,PVC 점검구 400 x 400,P0000CBX000B
